Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-4.352e-03,0.22
-4.349e-03,0.2
-4.346e-03,0.2
-4.342e-03,0.18
-4.339e-03,0.2
-4.336e-03,0.18
-4.333e-03,0.18
-4.330e-03,0.16
-4.326e-03,0.14
-4.323e-03,0.16
-4.320e-03,0.16
-4.317e-03,0.14
-4.314e-03,0.14
-4.310e-03,0.14
-4.307e-03,0.12
-4.304e-03,0.12
-4.301e-03,0.12
-4.298e-03,0.1
-4.294e-03,0.1
-4.291e-03,0.12
-4.288e-03,0.1
-4.285e-03,0.1
-4.282e-03,0.1
-4.278e-03,0.1
-4.275e-03,0.08
-4.272e-03,0.06
-4.269e-03,0.08
-4.266e-03,0.06
-4.262e-03,0.06
-4.259e-03,0.06
-4.256e-03,0.06
-4.253e-03,0.06
-4.250e-03,0.06
-4.246e-03,0.06
-4.243e-03,0.06
-4.240e-03,0.06
-4.237e-03,0.04
-4.234e-03,0.04
-4.230e-03,0.04
-4.227e-03,0.02
-4.224e-03,0.04
-4.221e-03,0.02
-4.218e-03,0.02
-4.214e-03,0.02
-4.211e-03,0.02
-4.208e-03,0.02
-4.205e-03,0.02
-4.202e-03,0.02
-4.198e-03,0.02
-4.195e-03,0.02
-4.192e-03,0.02
-4.189e-03,0
-4.186e-03,0.02
-4.182e-03,0
-4.179e-03,0.02
-4.176e-03,0.02
-4.173e-03,0
-4.170e-03,0
-4.166e-03,0
-4.163e-03,0.02
-4.160e-03,0
-4.157e-03,0
-4.154e-03,0
-4.150e-03,0
-4.147e-03,0
-4.144e-03,0
-4.141e-03,0
-4.138e-03,0.02
-4.134e-03,0
-4.131e-03,0
-4.128e-03,0.02
-4.125e-03,0
-4.122e-03,0
-4.118e-03,0
-4.115e-03,0
-4.112e-03,0
-4.109e-03,0
-4.106e-03,0.02
-4.102e-03,0
-4.099e-03,0.02
-4.096e-03,0.02
-4.093e-03,0.02
-4.090e-03,0.02
-4.086e-03,0.02
-4.083e-03,0.02
-4.080e-03,0.02
-4.077e-03,0.02
-4.074e-03,0.02
-4.070e-03,0.02
-4.067e-03,0.02
-4.064e-03,0.04
-4.061e-03,0.04
-4.058e-03,0.04
-4.054e-03,0.04
-4.051e-03,0.04
-4.048e-03,0.04
-4.045e-03,0.06
-4.042e-03,0.06
-4.038e-03,0.06
-4.035e-03,0.04
-4.032e-03,0.06
