Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-1.021e-01,0.24
-1.019e-01,0.24
-1.018e-01,0.24
-1.016e-01,0.32
-1.014e-01,0.32
-1.013e-01,0.24
-1.011e-01,0.32
-1.010e-01,0.32
-1.008e-01,0.32
-1.006e-01,0.32
-1.005e-01,0.32
-1.003e-01,0.32
-1.002e-01,0.4
-1.000e-01,0.4
-9.984e-02,0.4
-9.968e-02,0.4
-9.952e-02,0.4
-9.936e-02,0.4
-9.920e-02,0.4
-9.904e-02,0.48
-9.888e-02,0.48
-9.872e-02,0.56
-9.856e-02,0.48
-9.840e-02,0.48
-9.824e-02,0.56
-9.808e-02,0.56
-9.792e-02,0.56
-9.776e-02,0.56
-9.760e-02,0.64
-9.744e-02,0.64
-9.728e-02,0.64
-9.712e-02,0.64
-9.696e-02,0.72
-9.680e-02,0.64
-9.664e-02,0.72
-9.648e-02,0.72
-9.632e-02,0.72
-9.616e-02,0.72
-9.600e-02,0.72
-9.584e-02,0.8
-9.568e-02,0.88
-9.552e-02,0.88
-9.536e-02,0.88
-9.520e-02,0.88
-9.504e-02,0.88
-9.488e-02,0.96
-9.472e-02,0.96
-9.456e-02,0.96
-9.440e-02,0.96
-9.424e-02,1.04
-9.408e-02,0.96
-9.392e-02,0.96
-9.376e-02,1.04
-9.360e-02,1.12
-9.344e-02,1.12
-9.328e-02,1.12
-9.312e-02,1.12
-9.296e-02,1.12
-9.280e-02,1.2
-9.264e-02,1.2
-9.248e-02,1.2
-9.232e-02,1.2
-9.216e-02,1.28
-9.200e-02,1.28
-9.184e-02,1.28
-9.168e-02,1.28
-9.152e-02,1.28
-9.136e-02,1.36
-9.120e-02,1.36
-9.104e-02,1.44
-9.088e-02,1.44
-9.072e-02,1.44
-9.056e-02,1.44
-9.040e-02,1.52
-9.024e-02,1.52
-9.008e-02,1.6
-8.992e-02,1.6
-8.976e-02,1.6
-8.960e-02,1.6
-8.944e-02,1.6
-8.928e-02,1.68
-8.912e-02,1.68
-8.896e-02,1.68
-8.880e-02,1.76
-8.864e-02,1.76
-8.848e-02,1.76
-8.832e-02,1.84
-8.816e-02,1.84
-8.800e-02,1.84
-8.784e-02,1.84
-8.768e-02,1.92
-8.752e-02,1.92
-8.736e-02,1.92
-8.720e-02,2
-8.704e-02,2
-8.688e-02,2
-8.672e-02,2
-8.656e-02,2.08
-8.640e-02,2.08
-8.624e-02,2.08
-8.608e-02,2.08
-8.592e-02,2.16
-8.576e-02,2.24
-8.560e-02,2.24
-8.544e-02,2.24
-8.528e-02,2.24
-8.512e-02,2.24
-8.496e-02,2.32
-8.480e-02,2.32
-8.464e-02,2.4
-8.448e-02,2.4
-8.432e-02,2.4
-8.416e-02,2.48
-8.400e-02,2.48
-8.384e-02,2.48
-8.368e-02,2.48
-8.352e-02,2.56
-8.336e-02,2.56
-8.320e-02,2.56
-8.304e-02,2.64
-8.288e-02,2.64
-8.272e-02,2.64
-8.256e-02,2.64
-8.240e-02,2.72
-8.224e-02,2.72
-8.208e-02,2.72
-8.192e-02,2.8
-8.176e-02,2.8
-8.160e-02,2.8
-8.144e-02,2.88
-8.128e-02,2.88
-8.112e-02,2.88
-8.096e-02,2.88
-8.080e-02,2.96
-8.064e-02,2.96
-8.048e-02,3.04
-8.032e-02,3.04
-8.016e-02,3.04
-8.000e-02,3.04
-7.984e-02,3.12
-7.968e-02,3.12
-7.952e-02,3.12
-7.936e-02,3.2
-7.920e-02,3.2
-7.904e-02,3.2
-7.888e-02,3.2
-7.872e-02,3.2
-7.856e-02,3.28
-7.840e-02,3.28
-7.824e-02,3.28
-7.808e-02,3.36
-7.792e-02,3.36
-7.776e-02,3.36
-7.760e-02,3.44
-7.744e-02,3.44
-7.728e-02,3.52
